	EXRN00	EXRN01	EXRN02	EXRN03	EXRN04	EXRSTD	PCL01	PCL02	PCL03	PCL04	PCL05	PCL06	PCL07	PCL08	PCL09	PCL10	PCL11	PCL12	PCL13	PCL14	PCL15	PCL16	PCL17	PCL18	PCL19	PCL20	PCL21	PCL22	PCRN01	PCRN02	PCRN03	PCRN04	PCRNSK1	PCRNSK2	PCRSTD01	PCRSTD02	PCRSTDSK	PCZ01	PCZ02	PCZ03	PCZ04	PCZ05	PCZ06	PCZ07	PCZ08	PCZ09	PCZ10	PCZ11	PCZ12	PCZ13	PCZ14	PCZ15	PCZ16	PCZ17	PCZ18	PCZ19	PCZ20	PCZ21	PCZ22	PCZ23	PCZ24	PCZ25	PCZ26	PCZ27	PCZ28	PCZ29	PCZ30	PLS01	PLS02	PLS03	PLS04	PLS05	PLS06	PLS07	PLS08	PLS09	PLS10	PLS11	PLS12	PLS13	PLS14	PLS15	PLS16	PLS17	PLS18	PLS19	PLS20	PWW01	PWW02	PWW03	PWW04	PWW05	PWW06	PWW07	PWW08	PWW09	PWW10	PWW11	PWZ01	PWZ02	PWZ03	PWZ04	PWZ05	PWZ06	PWZ07	PWZ08	PWZ09	PWZ10	UNCG288	UNCG289	UNCG290	UNCG293	UNCG294	UNCG295	UNCG318	UNCGN
ASV_1	0	11	92	17	70	0	8080	9950	4483	9229	951	1389	8232	12020	5313	7134	1585	6051	16	337	1911	5298	646	537	8990	4581	522	16	21	31	0	0	0	0	34	28	0	16845	4260	154	6095	5487	7110	10735	3376	4494	5749	2803	3481	3660	10869	10118	14491	6760	6117	138	6060	4104	5792	11581	3291	2104	4028	6420	418	5303	11714	7666	604	1615	3172	1109	404	3008	7865	3758	3253	8310	3346	4419	1154	597	3798	1030	1389	25362	931	15617	2366	5452	2720	3830	160	90	424	8703	917	15256	52	72	32	89	23	26	0	11	34	3859	1163	52	2087	0	2469	219	2491	1
ASV_2	0	23	20	19	53	0	1053	327	3880	81	12758	840	18	36	5027	8	15	83	3266	1899	920	675	921	2459	3609	2861	37626	14465	28	17	6	14	0	0	25	80	0	47	1500	127	54	284	98	44	335	1183	247	22	26	23	93	121	159	36	1554	60	60	2709	39	187	25	4466	50	41	9971	167	5355	11632	10354	2454	1785	6324	8745	1840	2623	13251	1754	5085	3528	5408	3648	4186	3194	6435	5261	483	31594	7747	2343	216	1702	1532	212	10387	12875	130	160	2070	1020	237	8079	1013	6590	33025	1128	15917	15637	476	46	160	99	124	1129	21	9246	0
ASV_3	0	5	18	12	51	0	770	9749	1442	5167	430	1450	5012	3105	796	6441	1609	4104	9	150	2603	1142	801	1856	6552	2593	4872	1139	0	10	0	0	0	0	10	13	0	2486	312	96	2193	2384	2623	2455	1920	403	4501	1423	3529	1452	3319	5968	1822	8260	5030	53	2898	1904	767	10689	1998	3269	892	2301	1952	1133	3472	10221	1730	4627	4413	1874	2148	1799	4714	4283	2223	3616	2330	7471	5174	1061	1446	1787	4083	1611	1995	3504	1010	5053	1927	1153	3981	39	26	1375	829	0	8879	45	356	798	14	124	13456	157	5205	261	512	2180	244	0	391	129	6	2
ASV_4	0	8	9	0	31	0	2789	1984	4459	4439	1372	2352	3559	5142	2984	2846	1372	1488	518	850	1187	728	439	914	960	2237	3157	7	0	13	0	0	0	0	4	0	0	3653	1192	1675	1482	2502	3681	2459	404	4380	2901	4255	3966	2272	4383	2192	3009	4959	1549	38	4009	2183	3874	3680	4700	7605	2360	2618	2576	1191	7	1962	2538	2463	679	2106	2205	1066	2809	5073	2994	4635	937	1163	1532	761	2761	4143	1178	3399	2883	1648	168	5	0	279	219	662	17	1039	8	12	8	10	12	26	0	0	0	0	10	111	207	0	2	0	0	0	0	0
ASV_5	0	1	13	0	11	0	134	3316	1480	3391	1859	2354	3812	2001	2866	3629	910	1030	885	433	864	2589	498	2608	1828	862	2927	429	0	0	0	0	0	0	0	0	0	440	543	553	316	849	1482	447	231	607	2234	1888	215	639	1442	91	1305	429	1028	13	2869	710	3240	1234	4468	2835	2576	1028	2175	1400	0	936	866	1754	671	1122	483	1048	3035	1736	1965	1129	1486	372	642	1081	2993	4133	2188	2750	5474	7	0	5	4	5	0	0	17	0	7	0	6	8	5	0	4	4	0	2	13	21	0	0	0	0	0	0	0	0
ASV_6	0	6	0	4	48	0	291	956	41	856	26	6	1228	616	254	1937	562	336	0	521	9022	116	4003	8770	200	1968	2777	1532	6	11	0	0	4	0	6	0	0	277	19	13	316	1207	578	363	304	131	1788	561	308	353	1194	1021	171	1017	701	0	1150	224	734	984	707	124	325	1539	15	113	336	3518	1322	6119	2393	3678	1415	3491	4968	2082	3429	3114	1144	2758	3813	234	285	736	2240	1252	967	381	463	3856	355	1140	1010	17	32	261	200	0	0	0	0	0	0	0	0	0	0	4	119	3	0	0	0	0	2	0
ASV_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6251	3056	1310	1654	4967	3847	68	7213	0	0	0	0	0	0	0	0	0	0	0	15139	1262	308	9803	18	4	36395	1061	7323	14	0	0	0	0	0	0	0	0
ASV_8	0	0	5	4	39	0	937	1832	1108	4085	2507	1538	797	697	886	526	245	44	1017	351	855	755	107	1742	596	970	6988	1058	4	2	0	0	0	0	6	4	0	143	4	6	7504	249	161	4713	1349	1860	1098	3145	352	1139	2337	307	4119	2584	521	10	268	122	1125	1626	348	124	376	560	2266	1572	1	1519	1637	1827	1027	2534	1415	999	1392	860	415	1182	992	75	104	41	1433	1059	338	2339	4130	0	6	12	0	0	0	9	0	0	3	0	0	8	0	0	0	0	0	1	9	11	0	0	0	0	0	0	0	0
ASV_9	0	0	6	5	16	0	48	10	1679	1334	168	328	130	12	102	216	1041	4	84	0	1	5564	0	135	45	0	5	5	0	0	0	0	0	0	0	0	0	1521	57	5151	567	2065	1788	4470	446	3837	2006	1117	303	727	1992	73	1786	632	2082	31	3516	1183	702	68	2667	5514	1638	1384	597	2043	46	5	0	1	1	9	0	547	1796	1840	1404	1155	543	5807	2364	1491	4674	5639	6028	5	0	1	9	0	0	0	16	0	0	4	7	0	3	11	7	9	0	4	0	0	15	31	0	0	0	0	0	0	0	0
ASV_10	0	0	6	0	18	0	0	9	0	1	5	0	0	0	4	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1282	462	1378	223	368	2603	302	2699	2467	1547	425	5303	937	1914	155	7	1185	32	1032	3	665	6655	1621	1715	1757	783	3952	8	3285	5724	2121	1616	1069	785	831	1148	3253	1765	877	3285	2135	2571	2214	1510	1441	2568	2715	4	486	1505	0	6333	1693	5	13	1	0	0	7	6	3	9	1	0	1	0	4	0	0	0	0	8	0	0	0	0
